Country,Age,Gender,OccupationDescription,Salary,Industry,WorkRemote,EnjoyWorkRemote,WhereWorkRemote,WeeklyWorkHours
United States,25-29,1,Enterprise Level Services,"$60,000 - $80,000",Retail,Never,,,48
United States,20-24,1,Full-Stack Web Developer,,Software Products,Never,,,59
United States,35-39,1,Enterprise Level Services,,Education,Occasionally,I love it,A home office,0
United Kingdom,35-39,1,Mobile Application Developer,"$40,000 - $60,000",Education,Occasionally,I love it,Other,45
United States,,,,,,,,,0
United States,40-50,1,Other,"$100,000 - $120,000",Retail,Occasionally,I love it,A home office,52
United States,30-34,1,Other,"$60,000 - $80,000",Software Products,Never,,,52
United States,20-24,1,Student,"$40,000 - $60,000",,,,,0
Norway,< 20,1,Other,Student / Unemployed,Student,Never,,,0
United Kingdom,20-24,1,Full-Stack Web Developer,Student / Unemployed,Web Services,Full-time Remote,I'm neutral about it,A home office,0
India,25-29,1,Back-End Web Developer,Rather not say,Consulting,Part-time Remote,I love it,A home office,32
United States,35-39,1,Desktop Software Developer,"$100,000 - $120,000",Consulting,Occasionally,"I like it, though I like visiting the office occasionally",A home office,44
United States,< 20,1,Student,Student / Unemployed,Student,Never,,,0
Austria,25-29,1,Desktop Software Developer,"$80,000 - $100,000",Software Products,Full-time Remote,I love it,A home office,32
United States,25-29,1,Other,"$20,000 - $40,000",Education,Never,,,0
South Africa,35-39,1,Manager of Developers or Team Leader,Rather not say,Other,Occasionally,"I like it, though I like visiting the office occasionally",A home office,56
United States,25-29,1,Back-End Web Developer,"$60,000 - $80,000",Government,Never,,,57
United States,35-39,1,Full-Stack Web Developer,"$100,000 - $120,000",Consulting,Never,,,0
Romania,< 20,1,Student,Student / Unemployed,Student,Occasionally,I'm neutral about it,My couch,51
Denmark,30-34,1,Full-Stack Web Developer,"$100,000 - $120,000",Web Services,Part-time Remote,"I like it, though I like visiting the office occasionally",A home office,62
United States,30-34,1,Other,"$20,000 - $40,000",Software Products,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,67
United States,>60,1,Manager of Developers or Team Leader,"$40,000 - $60,000",Advertising,Full-time Remote,I'm neutral about it,A home office,67
United States,25-29,1,Full-Stack Web Developer,"$80,000 - $100,000",Consulting,Occasionally,I'm neutral about it,A home office,64
United States,25-29,1,Full-Stack Web Developer,"$80,000 - $100,000",Retail,Occasionally,"I like it, though I like visiting the office occasionally",A home office,52
United States,25-29,1,Student,Student / Unemployed,Student,Occasionally,I'm neutral about it,A home office,70
United States,35-39,1,Mobile Application Developer,Rather not say,Government,Full-time Remote,"I like it, though I like visiting the office occasionally",A home office,61
United States,25-29,0,Enterprise Level Services,Rather not say,Government,Occasionally,"I like it, though I like visiting the office occasionally",A home office,0
United States,40-50,NA,Other,"$80,000 - $100,000",Other,Occasionally,I'm neutral about it,My couch,62
Romania,20-24,1,Desktop Software Developer,"<$20,000",Software Products,Never,,,0
United States,30-34,1,Student,Student / Unemployed,Not Currently Employed,Never,,,75
United States,20-24,1,Student,,Student,Part-time Remote,"I like it, though I like visiting the office occasionally",My couch,2
United States,30-34,1,Full-Stack Web Developer,"$80,000 - $100,000",Retail,Part-time Remote,"I like it, though I like visiting the office occasionally",A home office,45
United States,40-50,1,Full-Stack Web Developer,"$100,000 - $120,000",Software Products,Full-time Remote,I love it,A home office,58
United States,20-24,1,Full-Stack Web Developer,"<$20,000",Foundation / Non-Profit,Never,,,0
Switzerland,35-39,1,Mobile Application Developer,Rather not say,Software Products,Never,,,55
United Kingdom,25-29,1,Full-Stack Web Developer,"$100,000 - $120,000",Consulting,Occasionally,I'm neutral about it,My couch,57
United States,35-39,1,Mobile Application Developer,"$120,000 - $140,000",Government,Never,,,0
United States,51-60,1,Other,"$120,000 - $140,000",Consulting,Full-time Remote,I love it,A home office,64
Iran,< 20,1,Desktop Software Developer,Student / Unemployed,Software Products,Part-time Remote,"I like it, though I like visiting the office occasionally",A home office,0
United States,35-39,1,Desktop Software Developer,"$100,000 - $120,000",Manufacturing,Full-time Remote,"I like it, though I like visiting the office occasionally",A home office,74
Canada,20-24,1,Full-Stack Web Developer,Rather not say,Web Services,Occasionally,I'm neutral about it,My couch,52
United States,35-39,1,Full-Stack Web Developer,"$100,000 - $120,000",Manufacturing,Occasionally,I love it,A home office,57
United States,< 20,NA,I don't work in tech,Student / Unemployed,Not Currently Employed,Full-time Remote,I love it,My couch,85
United States,35-39,1,Enterprise Level Services,Rather not say,Software Products,Occasionally,I hate it,A home office,75
Italy,30-34,1,Full-Stack Web Developer,Rather not say,Software Products,Occasionally,I hate it,A home office,0
United States,30-34,1,Full-Stack Web Developer,"$100,000 - $120,000",Foundation / Non-Profit,Occasionally,"I like it, though I like visiting the office occasionally",My couch,44
United States,25-29,1,Full-Stack Web Developer,"$80,000 - $100,000",Gaming,Never,,,62
Canada,40-50,1,Full-Stack Web Developer,">$140,000",Foundation / Non-Profit,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,30
United States,40-50,1,Other,"$60,000 - $80,000",Software Products,Never,,,38
Canada,40-50,1,Desktop Software Developer,"$100,000 - $120,000",Software Products,Part-time Remote,"I like it, though I like visiting the office occasionally",A home office,49
United States,25-29,1,Full-Stack Web Developer,"<$20,000",Advertising,Full-time Remote,I love it,My couch,52
India,20-24,1,Full-Stack Web Developer,,Web Services,Full-time Remote,"I like it, though I like visiting the office occasionally",A home office,67
United States,30-34,1,Full-Stack Web Developer,"$60,000 - $80,000",Web Services,Occasionally,I'm neutral about it,My couch,43
United States,< 20,1,Mobile Application Developer,Student / Unemployed,Not Currently Employed,Full-time Remote,I'm neutral about it,My couch,0
United States,30-34,1,Full-Stack Web Developer,"$60,000 - $80,000",Consulting,Never,,,23
United States,30-34,1,Full-Stack Web Developer,,Software Products,Full-time Remote,I love it,A home office,0
United States,40-50,1,Full-Stack Web Developer,"$100,000 - $120,000",Software Products,Occasionally,It's not my preference. I'd prefer to be in an office,My couch,66
Germany,25-29,1,Full-Stack Web Developer,,Consulting,Never,,,33
United States,25-29,1,Full-Stack Web Developer,"$100,000 - $120,000",Consulting,Occasionally,I love it,My couch,38
United States,40-50,1,Manager of Developers or Team Leader,,Other,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,48
United States,30-34,1,Full-Stack Web Developer,"$60,000 - $80,000",Consulting,Occasionally,"I like it, though I like visiting the office occasionally",A home office,34
United States,40-50,1,"Executive (VP of Eng, CTO, CIO, etc.)","$100,000 - $120,000",Software Products,Full-time Remote,I love it,A home office,32
United States,40-50,0,Full-Stack Web Developer,"$80,000 - $100,000",Healthcare,Part-time Remote,"I like it, though I like visiting the office occasionally",A home office,42
Canada,40-50,1,"Executive (VP of Eng, CTO, CIO, etc.)","$120,000 - $140,000",Consulting,Part-time Remote,"I like it, though I like visiting the office occasionally",A home office,45
Switzerland,25-29,NA,Full-Stack Web Developer,">$140,000",Web Services,Occasionally,It's not my preference. I'd prefer to be in an office,My couch,31
United States,25-29,1,Full-Stack Web Developer,"$60,000 - $80,000",Education,Never,,,61
United States,30-34,1,Front-End Web Developer,"$80,000 - $100,000",Retail,Occasionally,"I like it, though I like visiting the office occasionally",A home office,34
Ireland,< 20,1,Full-Stack Web Developer,Student / Unemployed,Student,Never,,,18
United States,25-29,1,Full-Stack Web Developer,"$60,000 - $80,000",Consulting,Occasionally,It's not my preference. I'd prefer to be in an office,My couch,48
India,< 20,1,Student,Student / Unemployed,Student,Never,,,65
United Kingdom,40-50,1,Embedded Application Developer,Rather not say,,,,,0
Italy,20-24,1,I don't work in tech,Student / Unemployed,Not Currently Employed,Never,,,0
United Kingdom,40-50,1,Other,"$40,000 - $60,000",,,,,0
United States,30-34,1,Other,Rather not say,Government,Occasionally,"I like it, though I like visiting the office occasionally",My couch,36
United States,30-34,1,Embedded Application Developer,"$60,000 - $80,000",Government,Never,,,70
United States,30-34,1,Full-Stack Web Developer,"$100,000 - $120,000",Retail,Occasionally,I'm neutral about it,A home office,50
India,25-29,1,Back-End Web Developer,"<$20,000",Web Services,Occasionally,"I like it, though I like visiting the office occasionally",A home office,64
United States,20-24,1,Desktop Software Developer,"$40,000 - $60,000",Finance / Banking,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,48
Germany,20-24,NA,Embedded Application Developer,Rather not say,Manufacturing,Part-time Remote,"I like it, though I like visiting the office occasionally",A home office,38
United States,30-34,1,"Executive (VP of Eng, CTO, CIO, etc.)",Rather not say,Other,Full-time Remote,I'm neutral about it,A home office,72
Portugal,20-24,1,Mobile Application Developer,Student / Unemployed,Not Currently Employed,Never,I'm neutral about it,,0
France,20-24,1,Back-End Web Developer,Student / Unemployed,Not Currently Employed,Never,,,0
United States,< 20,1,Student,Student / Unemployed,Student,Never,,,32
Germany,25-29,1,Other,"<$20,000",Other,Occasionally,I'm neutral about it,A home office,51
United States,35-39,1,Desktop Software Developer,"$60,000 - $80,000",Retail,Never,,,56
United States,25-29,1,DevOps,Rather not say,Web Services,Never,,,72
United States,20-24,1,Desktop Software Developer,"$60,000 - $80,000",Manufacturing,Never,,,39
United States,35-39,1,Full-Stack Web Developer,"$100,000 - $120,000",Foundation / Non-Profit,Occasionally,"I like it, though I like visiting the office occasionally",My couch,44
India,40-50,1,Manager of Developers or Team Leader,"$20,000 - $40,000",Software Products,Occasionally,I love it,A home office,72
United States,40-50,1,Full-Stack Web Developer,"$40,000 - $60,000",Web Services,Occasionally,I'm neutral about it,A home office,0
United States,30-34,1,Full-Stack Web Developer,"$80,000 - $100,000",Healthcare,Occasionally,"I like it, though I like visiting the office occasionally",A home office,105
United States,40-50,1,Full-Stack Web Developer,"$80,000 - $100,000",Other,Occasionally,I'm neutral about it,A home office,57
Sweden,25-29,1,Back-End Web Developer,Rather not say,Advertising,Occasionally,It's not my preference. I'd prefer to be in an office,My couch,50
United States,20-24,1,Student,Student / Unemployed,Software Products,Occasionally,It's not my preference. I'd prefer to be in an office,My couch,28
Canada,25-29,1,Mobile Application Developer,"$40,000 - $60,000",Software Products,Occasionally,I love it,My couch,56
United States,20-24,1,Back-End Web Developer,Rather not say,Web Services,Occasionally,I love it,A home office,65
Romania,30-34,1,Front-End Web Developer,,Software Products,Occasionally,It's not my preference. I'd prefer to be in an office,My couch,0
Slovakia,20-24,1,Desktop Software Developer,Rather not say,Software Products,Never,,,0
Cyprus,30-34,1,Full-Stack Web Developer,"$60,000 - $80,000",Finance / Banking,Occasionally,"I like it, though I like visiting the office occasionally",A home office,37
United States,30-34,1,Full-Stack Web Developer,"$60,000 - $80,000",Web Services,Occasionally,I love it,A home office,72
United States,20-24,1,Other,"$60,000 - $80,000",Manufacturing,Occasionally,"I like it, though I like visiting the office occasionally",A home office,49
United States,25-29,1,Full-Stack Web Developer,"$60,000 - $80,000",Software Products,Occasionally,It's not my preference. I'd prefer to be in an office,My couch,54
Netherlands,35-39,NA,Other,"$60,000 - $80,000",Software Products,Occasionally,I'm neutral about it,A home office,57
United States,35-39,1,I don't work in tech,"$40,000 - $60,000",Other,Never,,,19
Moldova,20-24,1,Full-Stack Web Developer,Student / Unemployed,Not Currently Employed,Never,,,0
United Kingdom,30-34,1,Other,"$60,000 - $80,000",Consulting,Full-time Remote,"I like it, though I like visiting the office occasionally",A home office,85
United States,,,,,,,,,0
United States,35-39,1,Manager of Developers or Team Leader,"$100,000 - $120,000",Other,Occasionally,"I like it, though I like visiting the office occasionally",A home office,41
Argentina,25-29,1,Full-Stack Web Developer,"$20,000 - $40,000",Other,Occasionally,"I like it, though I like visiting the office occasionally",A home office,31
United States,< 20,1,Student,Student / Unemployed,Student,Never,,,0
United States,25-29,1,Full-Stack Web Developer,"$40,000 - $60,000",Retail,Occasionally,"I like it, though I like visiting the office occasionally",A home office,69
Netherlands,25-29,1,Desktop Software Developer,"$20,000 - $40,000",Consulting,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,70
United States,>60,1,IT Staff / System Administrator,"$100,000 - $120,000",Government,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,19
Netherlands,30-34,1,Full-Stack Web Developer,Rather not say,Software Products,Occasionally,I love it,A home office,56
